Member,2019-05-26 20:30:00,2019-05-26 20:45:00,2019-05-26 21:00:00,2019-05-26 21:15:00,2019-05-26 21:30:00
1,11.666666666666666,8.611111111111112,6.9444444444444455,6.944444444444444,8.611111111111112
2,10.833333333333334,10.0,8.88888888888889,10.277777777777779,13.888888888888891
3,10.833333333333334,8.88888888888889,9.444444444444445,9.166666666666666,12.777777777777777
4,10.277777777777777,11.388888888888888,12.222222222222221,14.722222222222223,15.277777777777779
5,10.833333333333334,9.166666666666666,11.666666666666666,14.166666666666666,12.5
6,11.111111111111109,11.666666666666666,12.222222222222221,15.277777777777779,20.277777777777775
7,10.0,9.722222222222223,8.333333333333334,6.9444444444444455,6.666666666666667
8,11.944444444444443,10.277777777777777,10.0,10.555555555555555,13.888888888888891
9,11.666666666666666,8.88888888888889,8.611111111111112,10.0,11.944444444444445
10,15.0,12.777777777777777,15.277777777777779,18.61111111111111,16.11111111111111
11,10.833333333333334,10.277777777777779,10.555555555555555,13.055555555555557,15.277777777777779
12,13.888888888888888,10.277777777777779,15.0,15.0,14.722222222222223
13,5.277777777777778,9.444444444444445,11.111111111111109,10.555555555555555,11.944444444444443
14,13.333333333333334,13.611111111111112,15.277777777777777,17.777777777777775,17.77777777777778
15,15.0,12.222222222222221,11.666666666666666,11.666666666666666,12.222222222222223
16,13.611111111111112,14.722222222222223,14.722222222222223,13.055555555555557,9.444444444444445
17,11.666666666666666,8.88888888888889,8.611111111111112,10.0,11.944444444444445
18,11.111111111111109,12.5,16.666666666666668,20.555555555555557,20.277777777777782
19,13.055555555555557,11.666666666666666,10.0,9.722222222222223,16.666666666666668
20,11.111111111111112,10.555555555555555,12.777777777777779,14.166666666666666,19.166666666666668
21,8.88888888888889,8.333333333333334,8.055555555555555,6.9444444444444455,6.666666666666667
22,11.666666666666666,8.88888888888889,8.611111111111112,10.0,11.944444444444445
23,11.666666666666666,8.88888888888889,8.611111111111112,10.0,11.944444444444445
24,12.222222222222221,12.222222222222221,15.0,18.055555555555554,19.722222222222225
25,9.722222222222223,8.888888888888891,9.444444444444445,9.444444444444445,15.833333333333334
26,14.444444444444443,11.666666666666666,11.388888888888888,11.111111111111112,13.611111111111109
27,13.333333333333334,13.611111111111112,14.722222222222223,15.0,15.555555555555557
28,19.72222222222222,16.666666666666668,15.0,13.888888888888891,14.166666666666666
29,19.444444444444443,10.0,8.611111111111112,10.0,11.944444444444445
30,15.277777777777779,13.611111111111112,13.333333333333334,13.333333333333334,13.333333333333334
31,13.888888888888891,10.833333333333334,11.388888888888888,11.666666666666666,12.222222222222221
32,7.5,12.222222222222223,11.944444444444443,11.944444444444445,13.055555555555557
33,16.38888888888889,15.277777777777779,15.0,15.0,15.555555555555555
34,13.888888888888891,10.833333333333334,12.222222222222223,16.11111111111111,17.5
35,12.777777777777779,10.0,7.222222222222222,7.222222222222222,10.555555555555555
36,11.944444444444445,9.444444444444445,13.055555555555555,16.38888888888889,17.5
MRMS,3.8888888888888893,11.666666666666666,12.777777777777779,11.111111111111112,12.777777777777779
