,2045 UTC,2100 UTC,2115 UTC,2130 UTC,2145 UTC,2200 UTC,2215 UTC,2230 UTC,2245 UTC
1,"(16,26)","(19,30)","(24,38)","(27,42)","(31,48)","(34,52)","(37,55)","(40,58)","(43,63)"
2,"(15,31)","(21,33)","(20,37)","(24,41)","(27,46)","(30,50)","(32,53)","(34,57)","(37,61)"
3,"(9,39)","(16,42)","(22,45)","(26,48)","(29,51)","(33,56)","(35,59)","(39,64)","(42,69)"
4,"(8,31)","(12,35)","(17,39)","(21,43)","(24,46)","(26,49)","(30,54)","(32,57)","(36,62)"
5,"(11,35)","(15,38)","(20,41)","(23,43)","(27,48)","(29,51)","(32,55)","(36,59)","(39,63)"
6,"(17,32)","(21,35)","(23,39)","(25,43)","(26,46)","(28,51)","(31,56)","(34,59)","(37,64)"
7,"(6,35)","(11,39)","(17,43)","(21,47)","(24,49)","(27,54)","(31,58)","(34,62)","(37,65)"
8,"(8,34)","(12,37)","(17,40)","(21,43)","(24,47)","(27,50)","(30,54)","(33,58)","(35,61)"
9,"(11,35)","(16,38)","(19,40)","(24,44)","(27,48)","(29,52)","(29,55)","(32,60)","(36,64)"
10,"(16,31)","(17,33)","(21,41)","(24,45)","(26,48)","(28,53)","(31,58)","(34,62)","(38,68)"
11,"(12,36)","(17,39)","(21,43)","(24,47)","(24,51)","(28,54)","(31,57)","(35,62)","(39,66)"
12,"(14,35)","(19,37)","(19,38)","(23,41)","(26,45)","(29,49)","(33,54)","(36,56)","(38,59)"
13,"(14,29)","(19,36)","(24,41)","(21,44)","(26,48)","(29,51)","(33,56)","(36,62)","(39,66)"
14,"(13,36)","(17,38)","(22,43)","(25,46)","(25,52)","(29,57)","(33,61)","(34,66)","(36,69)"
15,"(16,30)","(19,33)","(22,37)","(24,41)","(26,45)","(28,49)","(30,53)","(33,57)","(35,61)"
16,"(14,37)","(17,40)","(19,42)","(22,46)","(25,51)","(29,55)","(31,60)","(36,64)","(41,69)"
17,"(17,30)","(20,33)","(23,39)","(26,43)","(29,48)","(31,51)","(30,54)","(33,58)","(37,64)"
18,"(2,46)","(8,49)","(15,52)","(21,55)","(25,57)","(31,60)","(36,62)","(42,66)","(46,70)"
19,"(17,31)","(19,35)","(22,41)","(25,45)","(28,49)","(28,53)","(30,57)","(32,61)","(38,65)"
20,"(16,30)","(19,33)","(23,37)","(23,42)","(26,45)","(32,51)","(35,55)","(38,59)","(43,64)"
21,"(15,33)","(20,36)","(22,38)","(25,43)","(26,49)","(29,54)","(32,57)","(35,61)","(38,65)"
22,"(17,32)","(21,34)","(25,40)","(27,44)","(31,49)","(34,53)","(36,56)","(38,59)","(42,65)"
23,"(18,30)","(20,33)","(22,37)","(26,42)","(29,45)","(32,50)","(35,54)","(39,59)","(45,61)"
24,"(17,29)","(20,32)","(24,37)","(27,41)","(31,45)","(35,50)","(39,54)","(44,59)","(48,64)"
25,"(17,32)","(18,37)","(22,43)","(26,46)","(28,50)","(31,56)","(32,61)","(36,65)","(40,70)"
26,"(12,25)","(15,35)","(20,38)","(22,42)","(25,47)","(28,51)","(31,56)","(34,60)","(36,64)"
27,"(16,32)","(17,35)","(23,42)","(25,45)","(27,48)","(30,54)","(32,57)","(36,63)","(40,66)"
28,"(18,30)","(21,33)","(24,38)","(23,43)","(27,46)","(30,49)","(32,54)","(35,59)","(38,62)"
29,"(14,23)","(19,35)","(22,40)","(25,45)","(28,48)","(30,52)","(31,56)","(34,60)","(39,65)"
30,"(17,30)","(20,32)","(23,36)","(27,41)","(30,44)","(37,52)","(40,54)","(43,58)","(47,62)"
31,"(15,37)","(18,34)","(19,40)","(24,46)","(25,49)","(28,55)","(31,61)","(34,65)","(37,69)"
32,"(15,36)","(21,39)","(16,35)","(19,38)","(24,43)","(29,48)","(30,53)","(34,58)","(40,64)"
33,"(14,30)","(18,34)","(21,40)","(24,44)","(26,47)","(29,51)","(30,55)","(31,61)","(35,66)"
34,"(16,32)","(19,36)","(19,40)","(22,45)","(24,48)","(29,54)","(32,57)","(35,62)","(38,67)"
35,"(12,44)","(17,47)","(21,49)","(24,51)","(28,54)","(33,59)","(36,62)","(39,66)","(43,70)"
36,"(10,36)","(14,35)","(18,39)","(21,42)","(24,47)","(27,52)","(30,55)","(33,59)","(37,65)"
MRMS,"(12,19)","(15,24)","(19,29)","(22,30)","(26,35)","(29,38)","(33,42)","(36,44)","(40,47)"
