,2245 UTC,2300 UTC,2315 UTC,2330 UTC,2345 UTC,0000 UTC,0015 UTC,0030 UTC,0045 UTC,0100 UTC,0115 UTC
1,"(40,39)","(44,40)","(46,44)","(49,47)","(50,50)","(53,53)","(53,61)","(59,68)","(60,73)","(63,78)","(65,83)"
2,"(40,38)","(42,40)","(45,44)","(47,47)","(50,54)","(52,60)","(53,63)","(55,70)","(56,75)","(57,80)","(58,83)"
3,"(32,30)","(34,33)","(36,37)","(41,43)","(43,47)","(51,55)","(52,60)","(55,64)","(56,69)","(59,74)","(63,79)"
4,"(34,29)","(38,33)","(41,37)","(45,41)","(50,47)","(52,51)","(55,56)","(57,59)","(61,65)","(64,68)","(67,73)"
5,"(40,38)","(43,41)","(45,43)","(49,48)","(51,51)","(53,57)","(56,63)","(58,68)","(60,72)","(63,77)","(65,81)"
6,"(34,29)","(36,34)","(39,39)","(43,46)","(46,51)","(48,54)","(50,59)","(52,63)","(55,68)","(57,72)","(59,77)"
7,"(46,46)","(49,47)","(53,48)","(55,49)","(58,52)","(60,55)","(62,59)","(64,63)","(67,67)","(70,70)","(75,74)"
8,"(39,35)","(42,38)","(46,41)","(49,44)","(52,49)","(54,52)","(57,56)","(59,60)","(61,63)","(64,68)","(66,72)"
9,"(39,30)","(41,33)","(42,37)","(47,42)","(50,46)","(53,51)","(55,55)","(57,59)","(59,63)","(61,67)","(63,71)"
10,"(33,30)","(37,41)","(39,44)","(42,48)","(44,53)","(45,59)","(46,63)","(47,68)","(48,74)","(49,78)","(50,83)"
11,"(44,41)","(46,43)","(47,45)","(48,48)","(49,50)","(53,55)","(54,61)","(56,65)","(57,71)","(59,76)","(61,82)"
12,"(33,29)","(36,34)","(39,38)","(44,45)","(44,48)","(47,52)","(51,57)","(54,62)","(56,66)","(59,71)","(61,74)"
13,"(34,29)","(39,34)","(43,39)","(46,41)","(52,47)","(54,51)","(56,56)","(59,61)","(62,65)","(65,69)","(68,74)"
14,"(46,44)","(48,46)","(51,50)","(53,54)","(54,57)","(57,63)","(59,67)","(60,71)","(62,77)","(63,82)","(64,86)"
15,"(36,39)","(39,41)","(42,44)","(46,48)","(53,54)","(54,57)","(55,61)","(57,67)","(59,73)","(61,77)","(63,81)"
16,"(34,29)","(37,34)","(39,38)","(43,43)","(46,48)","(48,53)","(50,56)","(52,60)","(55,64)","(58,69)","(61,71)"
17,"(39,37)","(43,39)","(45,41)","(50,45)","(53,48)","(56,53)","(58,56)","(59,59)","(62,63)","(66,67)","(69,71)"
18,"(33,28)","(37,33)","(40,38)","(43,41)","(46,46)","(49,50)","(52,54)","(54,57)","(58,62)","(61,65)","(65,69)"
19,"(33,29)","(37,34)","(39,38)","(44,45)","(47,50)","(49,55)","(53,62)","(55,66)","(58,72)","(61,77)","(63,83)"
20,"(39,37)","(42,41)","(46,45)","(47,49)","(49,54)","(51,58)","(53,65)","(55,69)","(57,74)","(58,78)","(60,83)"
21,"(35,29)","(38,34)","(40,37)","(43,44)","(46,48)","(52,54)","(54,58)","(55,62)","(55,68)","(56,71)","(57,76)"
22,"(35,30)","(37,33)","(42,40)","(47,46)","(49,51)","(52,55)","(54,59)","(56,63)","(59,67)","(64,74)","(68,76)"
23,"(34,29)","(37,33)","(40,37)","(44,45)","(46,48)","(51,54)","(53,58)","(55,61)","(56,65)","(59,69)","(60,70)"
24,"(39,38)","(42,40)","(45,44)","(48,48)","(49,55)","(51,59)","(53,64)","(55,68)","(57,72)","(60,76)","(62,81)"
25,"(34,30)","(36,33)","(40,39)","(45,47)","(49,53)","(51,57)","(53,62)","(56,68)","(58,71)","(61,75)","(65,80)"
26,"(41,42)","(44,45)","(48,47)","(51,50)","(54,53)","(57,58)","(59,62)","(61,67)","(62,70)","(65,75)","(68,79)"
27,"(35,29)","(38,33)","(43,38)","(48,43)","(49,49)","(52,54)","(55,58)","(57,61)","(60,66)","(62,69)","(65,73)"
28,"(39,35)","(42,39)","(44,41)","(47,47)","(49,51)","(51,57)","(53,62)","(55,67)","(56,71)","(59,76)","(61,81)"
29,"(33,28)","(37,34)","(39,38)","(42,43)","(44,48)","(46,53)","(48,58)","(49,62)","(51,66)","(53,71)","(54,75)"
30,"(36,29)","(38,33)","(42,40)","(44,44)","(47,49)","(50,54)","(52,57)","(54,61)","(56,70)","(60,73)","(62,76)"
31,"(41,38)","(44,41)","(47,44)","(52,47)","(55,51)","(58,60)","(62,65)","(65,69)","(67,74)","(70,78)","(75,83)"
32,"(40,42)","(43,45)","(47,49)","(51,53)","(53,56)","(55,60)","(57,65)","(60,71)","(61,75)","(64,80)","(66,85)"
33,"(48,48)","(51,53)","(53,56)","(54,59)","(56,64)","(57,68)","(60,73)","(62,76)","(66,82)","(72,86)","(75,89)"
34,"(44,37)","(46,40)","(46,43)","(49,46)","(52,50)","(54,54)","(55,57)","(59,63)","(60,65)","(62,67)","(64,70)"
35,"(33,28)","(39,32)","(44,36)","(48,39)","(52,42)","(54,48)","(56,53)","(60,57)","(65,61)","(69,66)","(73,70)"
36,"(33,28)","(36,32)","(39,36)","(42,41)","(46,46)","(49,50)","(52,53)","(56,59)","(59,62)","(63,67)","(64,71)"
MRMS,"(42,39)","(43,44)","(45,49)","(47,53)","(48,57)","(50,61)","(52,65)","(54,69)","(56,75)","(57,78)","(58,82)"
